"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"440","12200806","Fulda Stadtschloss","","50.553924621","9.677404761","2001","","0","","",""
"441","12200807","Fulda Stadtschloss","","50.553732904","9.677638113","2001","","0","","",""
"442","12200808","Fulda Stadtschloss","","50.553628951","9.677786976","2001","","0","","",""
"443","12200809","Fulda Stadtschloss","","50.553654939","9.677528143","2001","","0","","",""
"444","12200810","Fulda Stadtschloss","","50.553823224","9.677301496","2001","","0","","",""
"445","12200811","Fulda Stadtschloss","","50.553968077","9.677108377","2001","","0","","",""
"446","12200812","Fulda Stadtschloss","","50.55375591","9.677105695","2001","","0","","",""
"447","12208201","Fulda Sturmiusschule","","50.535503","9.681723","2001","","0","","",""
"448","12208202","Fulda Sturmiusschule","","50.535683","9.681605","2001","","0","","",""
"449","12201301","Fulda St.-Vinzenz-Straße","","50.557827","9.65935","2001","","0","","",""
"450","12201302","Fulda St.-Vinzenz-Straße","","50.557962","9.659295","2001","","0","","",""
"451","12213801","Fulda Schwarzmannstraße","","50.576105","9.657448","2001","","0","","",""
"452","12213802","Fulda Schwarzmannstraße","","50.576198","9.657475","2001","","0","","",""
"453","12201401","Fulda Theresienheim","","50.560437","9.647885","2001","","0","","",""
"454","12201402","Fulda Theresienheim","","50.560317","9.648505","2001","","0","","",""
"455","12007601","Fulda Tunnel Magdeburger Straße","","50.556360209","9.682230055","2001","","0","","",""
"456","12007602","Fulda Tunnel Magdeburger Straße","","50.55638151","9.682472795","2001","","0","","",""
"457","12204102","Fulda Ulmenweg","","50.560677","9.691092","2001","","0","","",""
"458","12220101","Fulda Universitätsplatz","","50.551735595","9.68018353","2001","","0","","",""
"459","12220102","Fulda Universitätsplatz","","50.551847221","9.680018574","2001","","0","","",""
"460","12017301","Fulda Waidesgrund","","50.557799264","9.698559344","2001","","0","","",""
"461","12017302","Fulda Waidesgrund","","50.557863164","9.698665291","2001","","0","","",""
"462","12205601","Fulda Wallweg","","50.540383","9.676327","2001","","0","","",""
"463","12205602","Fulda Wallweg","","50.539463","9.676267","2001","","0","","",""
"464","12092601","Fulda Washingtonallee","","50.554927","9.650082","2001","","0","","",""
